StartTime,EndTime,FieldName,HomeTeam,AwayTeam
2019-05-04T15:00:00,2019-05-04T16:30:00,BOIS DE BOULOGNE #1 (Synth) (11 x 11),CS MONTEUIL,FC GATINEAU
2019-05-18T14:00:00,2019-05-18T15:30:00,CENTRE MULTI SPORTS TERREBONNE (Synth),FC LANAUDIÈRE,FC GATINEAU
2019-05-25T17:00:00,2019-05-25T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,CS MONT-ROYAL OUTREMONT
2019-06-02T17:00:00,2019-06-02T18:30:00,ROSANNE LAFLAMME HOCKEY (Synth),CS ST-HUBERT,FC GATINEAU
2019-06-08T17:00:00,2019-06-08T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,CS FABROSE
2019-06-16T18:00:00,2019-06-16T19:30:00,ÉQUESTRE (Synth) S11 (BLAINVILLE),AS BLAINVILLE,FC GATINEAU
2019-06-22T17:00:00,2019-06-22T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,CS LONGUEUIL
2019-06-29T16:00:00,2019-06-29T17:30:00,POLY. BENOÎT-VACHON #1 (SAINTE-MARIE) (Synth) SOCCER À 9,DYNAMO DE QUÉBEC,FC GATINEAU
2019-07-13T17:00:00,2019-07-13T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,CS MONTEUIL
2019-07-20T17:00:00,2019-07-20T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,FC LANAUDIÈRE
2019-07-28T17:00:00,2019-07-28T18:30:00,TMR REC 3 (Synth) (11 x 11),CS MONT-ROYAL OUTREMONT,FC GATINEAU
2019-08-03T17:00:00,2019-08-03T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,CS ST-HUBERT
2019-08-11T16:30:00,2019-08-11T18:00:00,CEGEP MONTMORENCY (Synth) (11 x 11),CS FABROSE,FC GATINEAU
2019-08-17T17:00:00,2019-08-17T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,DYNAMO DE QUÉBEC
2019-08-24T18:00:00,2019-08-24T19:30:00,LAURIER 1 (Synth) (11 x 11),CS LONGUEUIL,FC GATINEAU
2019-08-31T17:00:00,2019-08-31T18:30:00,DARCY MC GEE (Synth),FC GATINEAU,AS BLAINVILLE
